text,label
Significant reduction in tannin contents was observed after soaking the lentils in simple water or salt solutions of different concentrations. Soaking in sodium bicarbonate solution was the most effective way to reduce the tannin content. Cooking lentils also further reduced tannin and improved protein digestibility.,1
"Anthocyanins (ACs) are phenolic compounds that are distributed widely in fruits and vegetables. Although consumption of these compounds has been shown to improve visual function, the distribution of ACs in ocular tissue has not been examined in detail. The aim of this study was therefore to evaluate the ocular distribution of blackcurrant anthocyanins (BCAs) in rats and rabbits after oral, intravenous (i.v.) and intraperitoneal (i.p.) administration. Identification and quantification of ACs were carried out using high-performance liquid chromatography-electrospray ionization mass spectrometry (HPLC-ESI-MS) and high-performance liquid chromatography (HPLC) with UV-visible detection, respectively. BCAs were identified in the plasma and whole eye after oral and i.p. administration in rats. No other peaks were detected in either plasma or ocular tissues after administration when the absorbance of the eluate was monitored at 520 nm. This finding indicates that intact forms of ACs were present in rats after administration of BCA. In rats given i.p. administration, the concentration of total ACs in the whole eye and some ocular tissues was higher than that measured in plasma. These results suggested that ACs detected in the ocular tissues were not due to residual blood. Following i.v. administration in rabbits, four ACs were identified in the plasma and several ocular tissues including the aqueous humor, cornea, sclera, choroid, ciliary body, iris and retina. A small amount of ACs was also detected in the vitreous and lens. In conclusion, this study demonstrated that BCAs were absorbed and distributed in ocular tissues as intact forms. Our data show clearly that intact forms of BCAs pass thorough the blood-aqueous barrier and blood-retinal barrier in both rats and rabbits.",1
"The polyphenolic components of Idared and Shampion apple purées were determined by HPLC; chlorogenic acid was the most abundant acid (20.0mg/100g in microwaved Idared); other polyphenols identified in high concentrations included (−)-epicatechin, procyanidin B1 and B2; quercetin and cyanidin glycosides were found in minor concentrations. The Shampion purées had higher total phenolics (142mg/100g) and procyanidin B2 concentrations (17.3mg/100g) than the Idared ones, and polymeric procyanidins represented 41% of all polyphenols. Antioxidant capacities of the samples, determined by spectrophotometric methods and EPR spectroscopy, correlated well with the concentration of polyphenols. The antioxidant properties could be better represented by EPR than by UV–vis measurements. The latter require transparent (clear) samples whereas EPR can be a method of choice in the assessment of radical-scavenging activity of dense and cloudy apple purées. Our results support the putative high antioxidant value of apple purées and define their capacity in terms of the major constituents. Apple purées are a rich source of natural antioxidants, especially of chlorogenic acid and procyanidins.",1
"Acute lymphoblastic leukemia (ALL) is the most prevalent form of pediatric leukemia. The gut microbiome (GM) is crucial for proper nutrition, immunity, and biological conflict. Since the relationship between ALL and GM is bidirectional, ALL occurrence and treatment are closely related to GM destruction and the development of impaired immunity. Studies have discovered significant GM alterations in patients with ALL, including decreased diversity, that are likely directly caused by the development of ALL. Chemotherapy, antibiotic therapy, and hematopoietic stem cell transplantation (HSCT) are the mainstays of treatment for pediatric ALL. These approaches affect the composition, diversity, and abundance of intestinal microorganisms, which in turn affects therapeutic efficiency and can cause a variety of complications. Modulating the GM can aid the recovery of patients with ALL. This article discusses the various treatment modalities for pediatric ALL and their corresponding effects on the GM, as well as the changes in the GM that occur in children with ALL from diagnosis to treatment. Gaining a greater understanding of the link between ALL and the GM is expected to help improve treatment for pediatric ALL in the future.",0
"The alkylresorcinol (AR) content of 8 commonly consumed cereals, 125 Triticum cultivars, milling fractions of wheat and rye, bread, and other cereal products was analyzed. ARs were found in wheat (489-1429 microgram/g), rye (720-761 microgram/g), triticale (439-647 microgram/g), and barley (42-51 microgram/g), but not in rice, oats, maize, sorghum, or millet. One durum wheat variety was found to have an exceptionally low level of ARs (54 microgram/g) compared to other durum wheat varieties (589-751 microgram/g) and Triticumspecies analyzed. The AR content of milling fractions closely followed the ash content and could be used as a marker of the presence of bran in flour. Using hot 1-propanol extraction, all ARs could be extracted from bread, contrary to previous studies which suggested that ARs were destroyed during baking. Cereal products varied greatly in AR content, with those containing wheat bran or whole rye having the highest content.",1
"Currently there is high interest in phytochemicals as bioactive components of food. The phenolic compounds act as antioxidants, which is beneficial for the human body, since phenolics are oxidised in preference to other cellular components and tissues, thus preventing cell damage and aging. Fruits are particularly rich in phenolic compounds with antioxidant activity, and therefore, the fruits juices are also naturally rich in these compounds. However, this type of component is somewhat susceptible to thermal degradation, and hence the effects of processing, like pasteurization, are of wide interest. The aim of this review is to focus on the effect of processing and storage over these compounds, such as thermal pasteurization, pulsed electric fields, high pressure, ultrasound, microwave treatment, microfiltration, refrigeration and freezing .",1
"B-cell precursor acute lymphoblastic leukemia (BCP-ALL) is a frequent type of childhood hematological malignancy. The disease is classified into several subtypes according to genetic abnormalities. MicroRNAs (miRNAs) are involved in pathological processes (e.g., proliferation, apoptosis, differentiation). A miRNA is a group of short non-coding RNAs with relevant regulatory effects on gene expression achieved by suppression of the translation or degradation of messenger RNA (mRNA). These molecules act as tumor suppressors and/or oncogenes in the pathogenesis of pediatric leukemias. The characteristic features of miRNAs are their stable form and the possibility of secretion to the circulatory system. The role of miRNA in BCP-ALL pathogenesis is still emerging, but several studies have suggested using miRNA expression profiles as biomarkers for diagnosis, prognosis, and response to therapy in leukemia. The dysregulation of some miRNAs involved in childhood acute lymphoid leukemia, such as miR-155, miR-200c, miR-100, miR-181a, miR125b, and miR146a is discussed, showing their possible employment as therapeutic targets. In the current review, the capabilities of miRNAs in non-invasive diagnostics and their prognostic potential as biomarkers are presented.",0
"Alkylresorcinol (AR) content was determined in multiple-stage whole wheat and whole rye flour sours, as well as in whole wheat and whole rye flour doughs and breads. AR content decreased considerably during fermentation and baking. AR content was reduced by 20 and 46%, respectively, at the end of sourdough starter fermentation of whole wheat and whole rye flour sours. AR content, which was 512 and 210 μg/g in whole rye and whole wheat flour doughs, respectively, was 30 and 0 μg/g, respectively, after baking of breads. Synthetic AR added at different levels to doughs was also greatly reduced during fermentation and baking.",1
"B-cell acute lymphoblastic leukemia (B-ALL) accounts for 85% of all childhood ALL. Malignancies exhaust T and B cells, resulting in an increased expression of immune checkpoint receptors (ICRs), such as T-cell immunoglobulin and mucin domain 3 (TIM-3). TIM-3 has been found to be dysregulated in different types of cancer. However, there is a lack of rigorous studies on the TIM-3 expression in B-ALL. The current study aimed to measure the expression of TIM-3 at the gene and protein levels and evaluate the potential of TIM-3 as a biomarker in B-ALL. A total of 28 subjects were recruited between 2021 and 2023, comprising 18 subjects diagnosed with B-ALL and 10 non-malignant healthy controls. The B-ALL patients were divided into three groups: newly diagnosed (four patients), in remission (nine patients), and relapse/refractory (five patients). The expression levels of TIM-3 were evaluated using the real-time qPCR and ELISA techniques. The results revealed that the TIM-3 expression was significantly downregulated in the malignant B-ALL patients compared to the non-malignant healthy controls in the mRNA (FC = -1.058 ± 0.3548,",0
"The role of the complement system and its membrane-bound regulatory proteins (mCRPs) in the pathogenesis of cancer is still a debatable issue. The current study aimed to evaluate the role of the complement regulatory protein, the decay-accelerating factor (CD55), in the pathogenesis of acute leukemia. CD55 gene expression was assessed in the peripheral blood of 34 patients with acute myeloid leukemia (AML), 26 patients with acute lymphoblastic leukemia (ALL), and 30 healthy controls by qRT-PCR. Also, CD55 gene knockdown was performed in HSB-2 (ALL cell line) using customized short hairpin RNA (shRNA). Flowcytometric analysis was done to ensure successful transfection, and MTT assay was performed to evaluate the cell viability post-transfection and silencing of CD55. There was a significant downregulation of CD55 in acute leukemia patients compared to the healthy controls (p < 0.001) with RQ values of AML, and ALL patients were 0.2499 ± 0.07427 and 0.2581 ± 0.09467, respectively. The MTT assay showed a significantly reduced viability of HSB-2 cells following posttranscriptional silencing of CD55 (p < 0.001) by 78.6% as compared to the non-transfected or mock-transfected cells. In the presence of human serum, there was a significant reduction in cell viability by 66.3% as compared to non-transfected controls (p = 0.01). Regarding the cells co-transfected with CD55 and CD46 silencing plasmids, cell viability was significantly decreased by 70.6% compared to non-transfected cells. CD55 was significantly downregulated in acute leukemia. However, its in vitro silencing showed significant reduction in cell viability, giving it a dual opposing role in cancer.",0
