title,pmid,abstract,indice
Polyphenol composition and antioxidant activity in strawberry purees  impact of achene level and storage,17550269,"In this study the impact of achenes on polyphenolic compounds, ascorbic acids, and antioxidant activities in strawberry purees at production and after storage at 6 and 22 degrees C for 8 and 16 weeks was investigated. Strawberry purees were made from flesh, berry, and achene-enriched homogenate and contained 0, 1.2, and 2.9% achenes, respectively. At production, strawberry purees made from flesh contained more anthocyanins, p-coumaroyl glycosides, and ascorbic acids, whereas increasing achene levels caused increasing levels of ellagic acid derivatives, proanthocyanidins, flavonols, total phenolics (TP), and antioxidant activities. In addition, the anthocyanins, TP, and ferric reducing ability power (FRAP) in purees with more achenes were better retained during storage. Ascorbic acids and anthocyanins declined rapidly during storage, whereas other polyphenols and antioxidant activities were more stable; that is, the contributions from anthocyanins and ascorbic acids to TP and antioxidant activities decreased. The findings that achenes contributed significantly to polyphenol content and stability of strawberry purees may be interesting in a nutritional and, thus, commercial, perspective.",0
Uptake and metabolism of epicatechin and its access to the brain after oral ingestion,12488137,"Epicatechin is a flavan-3-ol that is commonly present in green teas, red wine, cocoa products, and many fruits, such as apples. There is considerable interest in the bioavailability of epicatechin after oral ingestion. In vivo studies have shown that low levels of epicatechin are absorbed and found in the circulation as glucuronides, methylated and sulfated forms. Recent research has demonstrated protective effects of epicatechin and one of its in vivo metabolites, 3'-O-methyl epicatechin, against neuronal cell death induced by oxidative stress. Thus, we are interested in the ability of ingested epicatechin to cross the blood brain barrier and target the brain. Rats were administered 100 mg/kg body weight/d epicatechin orally for 1, 5, and 10 d. Plasma and brain extracts were analyzed by HPLC with photodiode array detection and LC-MS/MS. This study reports the presence of the epicatechin glucuronide and 3'-O-methyl epicatechin glucuronide formed after oral ingestion in the rat brain tissue.",1
Composition and stability of anthocyanins in blue-grained wheat,12670152,"Wheat grain is recognized as a good source of potentially health-enhancing components such as dietary fiber, phenolics, tocopherols, and carotenoids. Anthocyanins, another group of bioactive compounds, are found in blue and purple wheat grains. In the present study, a blue aleurone spring wheat line ""Purendo 38"" with relatively high content of total anthocyanins was used to investigate the composition and stability of anthocyanins over three crop years. Commercial cultivars of purple (Konini) and red (Katepwa) wheats were included in the study. Separation of anthocyanins by high-performance liquid chromatography (HPLC) showed that each wheat had a distinct anthocyanin profile. Four major anthocyanins were separated from blue wheat extracts as compared to five anthocyanins in purple wheat. Cyanidin 3-glucoside was the predominant anthocyanin in purple wheat, whereas it was the second major anthocyanin in blue wheat. The predominant anthocyanin in blue wheat, making up approximately 41% of the total anthocyanin content, remains to be structurally unidentified. Blue wheat anthocyanins were thermally most stable at pH 1. Their degradation was slightly lower at pH 3 as compared to pH 5. Increasing the temperature from 65 to 95 degrees C increased degradation of blue wheat anthocyanins. Addition of SO(2) during heating of blue wheat had a stabilizing effect on anthocyanin pigments. The optimal SO(2) concentrations were 500-1000 ppm for whole meals and 1000-3000 ppm for isolated anthocyanins. Further studies are underway to identify and verify individual anthocyanins in blue wheat and their potential end uses.",2
"Anthocyanin composition in black, blue, pink, purple, and red cereal grains",16787017,"Anthocyanin pigments from a wide variety of edible and ornamental black, blue, pink, purple, red, and white wheat, barley, corn, rice, and wild rice were identified and quantified to evaluate their potential as natural colorants or functional food ingredients. The total anthocyanin contents varied significantly and exhibited a range of 7-3276 microg/g. Some grains, such as red rice and black rice, contained a limited number of pigments, whereas others, such as blue, pink, purple, and red corns, had complex anthocyanin profiles. Of the 42 anthocyanin compounds observed, 9 were characterized by comparison of the spectroscopic and chromatographic properties with those of authentic standards. The remaining compounds were tentatively identified on the basis of spectroscopic properties and electrospray ionization mass spectra. The most abundant anthocyanins were cyanidin 3-glucoside in black and red rices and in blue, purple, and red corns, pelargonidin 3-glucoside in pink corn, and delphinidin 3-glucoside in blue wheat.",3
Preliminary study of resveratrol content in Aragon red and rose wines,NA,"A survey of resveratrol content in wines of the four Aragón designations of origin (Borja, Cariñena, Calatayud and Somontano) was carried out. Concentrations of trans- and cis-resveratrol isomers of 98 commercial wines of the four designations of origin, from several vintages, were analyzed by means of reverse-phase high-performance liquid chromatography. Concentration of trans-resveratrol ranged from 0.32 to 4.44 mg/l in red wines and from 0.12 to 2.80 mg/l in rosé wines. cis-Resveratrol levels ranged from 0.20 to 5.84 mg/l in red wines and from 0.02 to 3.17 mg/l in rosé wines. The grape variety influenced resveratrol contents in wines from the different regions. The highest trans/cis ratios were found in Somontano (4.50) and Calatayud wines (2.90), both of the Tempranillo variety. However, a discriminant analysis applied to the concentrations did not show significant differences between young red wines nor between rosé wines of the four designations of origin.",4
HPLC method for the quantification of procyanidins in cocoa and chocolate samples and correlation to total antioxidant capacity,10552788,"Monomeric and oligomeric procyanidins present in cocoa liquors and chocolates were separated and quantified in four different laboratories using a normal-phase high-performance liquid chromatography (HPLC) method with fluorescence detection. Procyanidin standards through decamers were obtained by extraction from cocoa beans, enrichment by Sephadex LH-20 gel permeation chromatography, and final purification by preparative normal-phase HPLC. The purity of each oligomeric fraction was assessed using HPLC coupled to mass spectrometry. A composite standard was then prepared, and calibration curves were generated for each oligomeric class using a quadratic fit of area sum versus concentration. Results obtained by each of the laboratories were in close agreement, which suggests this method is reliable and reproducible for quantification of procyanidins. Furthermore, the procyanidin content of the samples was correlated to the antioxidant capacity measured using the ORAC assay as an indicator for potential biological activity.",5
Enhancement of total phenolics and antioxidant properties of some tropical green leafy vegetables by steam cooking,NA,"This study sought to evaluate the effect of steam cooking on the vitamin C, total phenolics, total flavonoid and antioxidant properties (1,1-diphenyl-2-picrylhydrazyl [DPPH] free radical and 2,2-azinobis(3-ethylbenzo-thiazoline-6-sulfonate) [ABTS*] radical scavenging abilities, reducing property and Fe2+ chelating ability) of some tropical green leafy vegetables: Talinum triangulare, Ocimum gratissimum, Amaranthus hybridus, Telfairia occidentalis, Ipomea batata, Cnidoscolus aconitifolius, Baselia alba and Senecio biafrae leaves. The results of the study revealed that cooking causes a significant (P < 0.05) decrease in the vitamin C (raw [321.4–842.0], cooked [198.2–638.4 mg/100 g]) content. Conversely, there was a significant (P < 0.05) increase in the total phenol (raw [146.9–693.8], cooked [272.9–1037.5 mg/100 g]), total flavonoid (raw [8.2–53.0], cooked [12.9–57.4 mg/100 g]), DPPH radical scavenging ability (raw [15.7–61.8], cooked [52.8–92.7%]), reducing property (raw: 28.3–61.8; cooked: 43.9–71.6 mg/100 g ascorbic acid equivalent [AAE]), Fe2+ chelating ability (raw [17.4–75.4], cooked [22.8–89.2%]) and ABTS* scavenging ability (raw [17.4–87.3], cooked [57.5–113.2 mmol/100 g trolox equivalent antioxidant capacity]). In view of this, it could be concluded that steam cooking decreases the vitamin C content of all the vegetables, while it increased the phenolic content and antioxidant activities.",6
Urinary excretion of lignans and isoflavonoid phytoestrogens in Japanese men and women consuming a traditional Japanese diet,1659780,"Epidemiologic studies revealed low mortality in hormone-dependent cancer in Japanese women and men consuming a traditional diet. We previously found that certain diphenolic food components, lignans and isoflavonoids, which are converted to biologically active hormone-like substances by intestinal microflora, may be cancer-protective agents. Therefore, we studied urinary excretion of these compounds (enterolactone, enterodiol, daidzein, equol, and O-desmethylangolensin) in 10 women and 9 men in a rural village south of Kyoto, Japan. The subjects consumed a typical low-fat diet with much rice and soy products, fish, and vegetables. An isotope-dilution gas chromatographic-mass spectrometric method was used for the assays. The urinary excretion of lignans was low but that of the isoflavonoids was very high. The excretion of isoflavonoids correlated with soybean-product intake. The low mortality in breast and prostate cancer of Japanese women and men, respectively, may be due to the high intake of soybean products.",7
Antioxidant activity of grains,12358499,"Epidemiological studies have shown that consumption of whole grains and grain-based products is associated with reduced risk of chronic diseases. The health benefits of whole grains are attributed in part to their unique phytochemical composition. However, the phytochemical contents in grains have been commonly underestimated in the literature, because bound phytochemicals were not included. This study was designed to investigate the complete phytochemical profiles in free, soluble conjugated, and insoluble bound forms, as well as their antioxidant activities in uncooked whole grains. Corn had the highest total phenolic content (15.55 +/- 0.60 micromol of gallic acid equiv/g of grain) of the grains tested, followed by wheat (7.99 +/- 0.39 micromol of gallic acid equiv/g of grain), oats (6.53 +/- 0.19 micromol of gallic acid equiv/g of grain), and rice (5.56 +/- 0.17 micromol of gallic acid equiv/g of grain). The major portion of phenolics in grains existed in the bound form (85% in corn, 75% in oats and wheat, and 62% in rice), although free phenolics were frequently reported in the literature. Ferulic acid was the major phenolic compound in grains tested, with free, soluble-conjugated, and bound ferulic acids present in the ratio 0.1:1:100. Corn had the highest total antioxidant activity (181.42 +/- 0.86 micromol of vitamin C equiv/g of grain), followed by wheat (76.70 +/- 1.38 micromol of vitamin C equiv/g of grain), oats (74.67 +/- 1.49 micromol of vitamin C equiv/g of grain), and rice (55.77 +/- 1.62 micromol of vitamin C equiv/g of grain). Bound phytochemicals were the major contributors to the total antioxidant activity: 90% in wheat, 87% in corn, 71% in rice, and 58% in oats. Bound phytochemicals could survive stomach and intestinal digestion to reach the colon. This may partly explain the mechanism of grain consumption in the prevention of colon cancer, other digestive cancers, breast cancer, and prostate cancer, which is supported by epidemiological studies.",8
Phytochemicals and antioxidant activity of milled fractions of different wheat varieties,15769171,"The health-promoting effects of whole-grain consumption have been attributed in part to their unique phytochemical contents and profiles that complement those found in fruits and vegetables. Wheat is an important component of the human diet; however, little is known about the phytochemical profiles and total antioxidant activities of milled fractions of different wheat varieties. The objectives of this study were to investigate the distribution of phytochemicals (total phenolics, flavonoids, ferulic acid, and carotenoids) and to determine hydrophilic and lipophilic antioxidant activity in milled fractions (endosperm and bran/germ) of three different wheat varieties, two of which were grown in two environments. Grain samples of each of the wheat varieties were milled into endosperm and bran/germ fractions. Each fraction was extracted and analyzed for total phenolics, ferulic acid, flavonoids, carotenoid contents, and hydrophilic and lipophilic antioxidant activities. Total phenolic content of bran/germ fractions (2867-3120 micromol of gallic acid equiv/100 g) was 15-18-fold higher (p < 0.01) than that of respective endosperm fractions. Ferulic acid content ranged from 1005 to 1130 micromol/100 g in bran/germ fractions and from 15 to 21 micromol/100 g in the endosperm fractions. The bran/germ fraction flavonoid content was 740-940 micromol of catechin equiv/100 g. On average, bran/germ fractions of wheat had 4-fold more lutein, 12-fold more zeaxanthin, and 2-fold more beta-cryptoxanthin than the endosperm fractions. Hydrophilic antioxidant activity of bran/germ samples (7.1-16.4 micromol of vitamin C equiv/g) was 13-27-fold higher than that of the respective endosperm samples. Similarly, lipophilic antioxidant activity was 28-89-fold higher in the bran/germ fractions (1785-4669 nmol of vitamin E equiv/g). Hydrophilic antioxidant activity contribution to the total antioxidant activity (hydrophilic + lipophilic) was >80%. In whole-wheat flour, the bran/germ fraction contributed 83% of the total phenolic content, 79% of the total flavonoid content, 51% of the total lutein, 78% of the total zeaxanthin, 42% of the total beta-cryptoxanthin, 85% of the total hydrophilic antioxidant activity, and 94% of the total lipophilic antioxidant activity. Our results showed that different milled fractions of wheat have different profiles of both hydrophilic and lipophilic phytochemicals. These findings provide information necessary for evaluating contributions to good health and disease prevention from whole-wheat consumption.",9
