text,label
"This study aimed to evaluate the efficacy of Olverembatinib in patients with relapsed and persistent minimal residual disease-positive Philadelphia chromosome-positive acute lymphoblastic leukemia. We conducted a retrospective analysis of clinical characteristics in 22 patients diagnosed with Ph + ALL at Qilu Hospital of Shandong University and Yantai Yuhuangding Hospital between December 2018 and December 2024. A cohort of 22 patients with Ph + ALL was enrolled in this study. Among them, 12 (54.5%) patients had relapsed Ph + ALL, while the remaining 10 patients exhibited persistent MRD positivity. In the relapsed subgroup, the CR rate following one treatment cycle reached 75.0% (9/12), with MRD-negative and MMR rates of 75.0% (9/12) and 50.0% (6/12), respectively. Upon completion of two treatment cycles in evaluable patients ( The efficacy and tolerability of Olverembatinib were confirmed in patients with relapsed, MRD-positive, Ph + ALL, offering a novel therapeutic approach for these patients and making prolonged survival possible.",0
"Therapy-related acute lymphoblastic leukaemia (tr-ALL) is a disease entity attributed to previous exposure to chemotherapy and/or radiation for antecedent malignancy. There is observed female predominance for tr-ALL, likely due to high prevalence and excellent curable rate for non-metastatic breast cancer as well as the frequent use of carcinogenic agents as part of adjuvant therapy. Here, we reviewed 37 women with diagnosis of ALL following breast cancer treatment with focus on cytogenetic categorization. Philadelphia chromosome positivity (Ph+), KMT2A alterations and other cytogenetic change groups were observed in 32%, 22% and 46% of patients respectively. Median overall survival (OS) and relapse-free survival (RFS) were 19.4 and 12.9 months, overall while both OS and RFS were superior in tr-ALL with Ph+ disease compared to KMT2Ar and other cytogenetics respectively. Seventeen (45.9%) patients underwent consolidative allogeneic haematopoietic cell transplantation (alloHCT) in CR1 out of which 4 (24%) relapsed following transplant. Both OS and RFS were superior in the KMT2Ar cytogenetics group following alloHCT. Ph chromosome represents the largest genetic entity of tr-ALL following breast cancer therapy, and it may be associated with superior survival outcomes while KMT2Ar may be associated with poorer outcomes that can perhaps be mitigated by alloHSCT.",0
"The free and bound phenols have been measured in 20 fruits commonly consumed in the American diet. Phenols were measured colorimetrically using the Folin-Ciocalteu reagent with catechin as the standard after correction for ascorbic acid contribution. On a fresh weight basis, cranberry had the highest total phenols, and was distantly followed by red grape. Free and total phenol quality in the fruits was analyzed by using the inhibition of lower density lipoprotein oxidation promoted by cupric ion. Ascorbate had only a minor contribution to the antioxidants in fruits with the exception of melon, nectarine, orange, white grape, and strawberry. The fruit extracts' antioxidant quality was better than the vitamin antioxidants and most pure phenols, suggesting synergism among the antioxidants in the mixture. Using our assay, fruits had significantly better quantity and quality of phenol antioxidants than vegetables. Fruits, specifically apples and cranberries, have phenol antioxidants that can enrich lower density lipoproteins and protect them from oxidation. The average per capita consumption of fruit phenols in the U.S. is estimated to be 255 mg/day of catechin equivalents.",1
"Immune reconstitution inflammatory syndrome (IRIS) occurs when there is immune recovery after a prolonged period of leucopenia as a response to an underlying latent or chronic infection due to a proinflammatory cascade. It can occur in a child on chemotherapy for acute lymphoblastic leukemia (ALL) with underlying chronic disseminated candidiasis (CDC). We present a 7-year-old girl with pre-B ALL on chemotherapy who had prolonged febrile neutropenia and CDC with microabscesses in the liver, spleen, and kidney and a prolonged intensive care unit stay. Upon neutrophil recovery, she continued to have high-grade fever (blood and urine cultures negative). She also presented severe myositis of bilateral thigh muscles and developed unusual granulomas in the subcutaneous region of the lower back and right thigh. Although IRIS was suspected, she could not be initiated on steroids due to right upper lobe collapse consolidation due to multidrug-resistant Acinetobacter baumanni, which was treated with sensitive antibiotics. Treatment with steroids resolved her fever and normalized inflammatory markers. She is currently well on maintenance chemotherapy. IRIS can complicate the treatment of ALL in children. Diagnosing it while having a concurrent bacterial infection is challenging. Rarely CDC can present with subcutaneous granulomas. Treatment with steroids at the right time is very crucial.",0
"Dietary phytoestrogens such as the isoflavones daidzein and genistein are thought to protect against chronic diseases that are common in Western societies, such as cancer, osteoporosis, and ischemic heart disease. In addition, there are concerns regarding the deleterious effects of hormone-like compounds, especially with respect to the development of infants. However, there is little information regarding the phytoestrogen content of foods, and therefore epidemiologic investigations of phytoestrogens are limited. As part of a study quantifying the consumption of phytoestrogens, the objective of this work was to assess the daidzein and genistein content of fruits and nuts commonly eaten in Europe. Eighty different fruits and nuts were sampled, prepared for eating, and freeze-dried. Daidzein and genistein were extracted from the dried foods, and the two isoflavones were quantified after hydrolytic removal of any conjugated carbohydrate. Completeness of extraction and any procedural losses of the isoflavones were accounted for using synthetic daidzin (7-O-glucosyl-4'-hydroxyisoflavone) and genistin (7-O-glucosyl-4'5-dihydroxyisoflavone) as internal standards. Of the 80 foods assayed, 43 contained no detectable daidzein or genistein, at a limit of quantification of 1 microg/kg dry weight of food. Nine foods contained more than 100 microg of the two isoflavones combined per kilogram wet weight, and 28 contained less than this amount. Currants and raisins were the richest sources of the isoflavones, containing 2,250 microg and 1,840 microg of the two isoflavones combined per kilogram of wet weight of food. Although fruits and nuts are not as rich in isoflavone phytoestrogens as are soy and other legumes, this is the first documentation of levels of daidzein and genistein occurring in these foods.",1
"Childhood cancers are an important cause of premature mortality and long-term disability worldwide, yet most global estimates stop at broad diagnostic groups. A clearer picture by subtype and its social determinants is needed to guide the World Health Organization (WHO) target of at least sixty percent survival for all children with cancer by 2030. In this population-based registry study, we analysed incidence and mortality data for 185 countries in 2022 using the GLOBOCAN database, and redistributed unspecified tumours according to subtype proportions derived from 670 high-quality population-based registries in Cancer Incidence in Five Continents XII. For unspecified subtype cases, we assumed they most likely belonged to main subtypes and proportionally reallocated them to specified categories. Age-standardised rates (ASRs) were calculated with the World Standard Population. Multivariable linear regression examined associations between subtype-specific incidence and national socioeconomic and health-system indicators, adjusting for multicollinearity. An estimated 211,080 new cases and 78,441 deaths due to childhood cancers occurred globally in 2022. Leukaemia was the most common cancer, with acute lymphoblastic leukaemia (ALL) comprising 66.73% of leukaemia cases, and an ASR of 2.04 per 100,000 population. Brain tumours account for 45.00% of brain and central nervous system cancers, with an ASR of 0.56 per 100,000 population. Burkitt lymphoma represented 17.64% of non-Hodgkin lymphoma cases, with the highest number of incidence cases observed in sub-Saharan Africaand an ASR of 0.32 per 100,000 population. Across most subtypes, incidence was higher in boys than girls. Countries with higher Universal Health Coverage service indices and better healthcare infrastructure had significantly higher reported incidence rates for multiple subtypes, including ALL ( Subtype-specific childhood cancer incidence varies substantially across regions, reflecting disparities in data quality, healthcare access, and diagnostic capacity. Interpretation should be cautious given limitations in registry coverage, especially in low- and middle-income countries, and the small number of cases for certain subtypes and regions, which may affect accuracy and comparability. Strengthening childhood cancer registration systems is essential to improve surveillance, research, and policy planning. The National Natural Science Foundation of China and Beijing Natural Science Foundation.",0
"Tyrosine kinase inhibitors (TKIs) have revolutionized the treatment of chronic myeloid leukemia (CML), with patients now achieving life expectancy comparable to the general population. Despite the contraindication of TKIs during the first trimester of pregnancy, their effects on female reproductive health remain underexplored. This pilot case-control study evaluated the impact of Dasatinib on the female reproductive system in 25 women with CML or Philadelphia-positive acute lymphoblastic leukemia (Ph + ALL), compared to 25 age-matched controls. Clinical histories, gynecological examinations, transvaginal ultrasonography, and serum Anti-Müllerian hormone (AMH) assessments were performed. There was no significant differences in menstrual cycle characteristics between patients and controls, although 12% of patients experienced shorter cycles and 8% reported heavier menstrual flow after initiating Dasatinib. Notably, patients on Dasatinib had significantly lower serum AMH levels (",0
"The effects of hyper-oxygenation and storage period of Macabeo and Airén white wines on color characteristics, phenolic, and volatile composition have been evaluated. Hyper-oxygenation treatment provoked a significant decrease in virtually all individual phenolic compounds in must, young wine, and one-year-aged wines, above all hydroxycinnamic acid derivatives, flavonols, and the new GRP derivatives compounds (derived from 2-S-glutathionyl-caftaric acid or grape reaction product). Despite this fact, the contribution of the yellow color component (b*) of white wines derived from hyper-oxygenated musts was significantly higher in comparison with untreated ones, even after 1 year of bottle storage. On the other hand, the concentration of major volatile compounds and some alcohols (namely, C6 alcohols, terpenes, and lactones) was higher in wines derived from hyper-oxygenated musts, but the hyper-oxygenation effect on volatile profile deeply depended on the grape variety. After 1 year of bottle storage, the significant differences were maintained and the content of some long-chain esters increased as a consequence of oxygen addition.",1
Viral infections pose a significant global burden. Host susceptibility to pathogens is determined by many factors including genetic variation that can lead to immunodeficient or dysregulated antiviral immune responses. Pax5 heterozygosity (Pax5,0
"Distinct diagnostic entities within BCR::ABL1-positive acute lymphoblastic leukemia (ALL) are currently defined by the International Consensus Classification of myeloid neoplasms and acute leukemias (ICC): ""lymphoid only"", with BCR::ABL1 observed exclusively in lymphatic precursors, vs ""multilineage"", where BCR::ABL1 is also present in other hematopoietic lineages. Here, we analyzed transcriptomes of 327 BCR::ABL1-positive patients with ALL (age, 2-84 years; median, 46 years) and identified 2 main gene expression clusters reproducible across 4 independent patient cohorts. Fluorescence in situ hybridization analysis of fluorescence-activated cell-sorted hematopoietic compartments showed distinct BCR::ABL1 involvement in myeloid cells for these clusters (n = 18/18 vs n = 3/16 patients; P < .001), indicating that a multilineage or lymphoid BCR::ABL1 subtype can be inferred from gene expression. Further subclusters grouped samples according to cooperating genomic events (multilineage: HBS1L deletion or monosomy 7; lymphoid: IKZF1-/- or CDKN2A/PAX5 deletions/hyperdiploidy). A novel HSB1L transcript was highly specific for BCR::ABL1 multilineage cases independent of HBS1L genomic aberrations. Treatment on current German Multicenter Study Group for Adult ALL (GMALL) protocols resulted in comparable disease-free survival (DFS) for multilineage vs lymphoid cluster patients (3-year DFS: 70% vs 61%; P = .530; n = 91). However, the IKZF1-/- enriched lymphoid subcluster was associated with inferior DFS, whereas hyperdiploid cases showed a superior outcome. Thus, gene expression clusters define underlying developmental trajectories and distinct patterns of cooperating events in BCR::ABL1-positive ALL with prognostic relevance.",0
